,e1,e2,e3,e4,e5,e6,e7,e8,e9
0,0.39498909621697,0.1990530432687707,0.2668987269290891,0.2010671776422604,0.5242267766521223,0.5123141361220634,0.3924207791848167,0.1845498972816557,0.2160528623535871
1,0.4326619031690615,0.4197871764955982,0.341863307804817,0.1491648301177823,0.4519036354013226,0.2904719028000697,0.3507759751639563,,
2,0.2962670090505459,0.1669228411424125,0.2140250225314706,0.3300949379167516,0.3266356732294189,0.0860093713729526,0.2588669814976659,,
3,0.3597352433911234,0.2150759895156068,0.3280294734122539,0.2926015185585716,0.2024495848694033,0.1374095154442272,0.3760805807486825,,
4,0.151896269265866,0.3991108021812735,0.2458390223246425,0.3618321969107512,0.1591583737868808,0.2344517135687074,0.2496871372088559,,
5,0.2918425701598194,0.3740939798340758,0.2792478770222124,0.2480028632731792,0.3139402800103802,0.3814859540411494,0.1246171474298274,,
6,0.3874337597334201,0.2470788177206815,0.2312246617946106,0.3108233456828949,0.1469619979394378,0.482478186855262,0.4495752341652213,,
7,0.4239038557134491,0.2642711153262425,0.267084248035535,0.2079457693766621,0.3902559301697982,0.2852887902066288,0.4324809421505798,,
8,0.3575297513104873,0.4073677124319403,0.3551694979553576,0.3378387349834401,0.3705884379366669,,,,
9,0.371226097269448,0.3692033136877853,0.3213239452028174,0.3242351422183772,0.2171473003204502,0.2878720619708572,,,
10,0.3393766844012416,0.356159334699929,0.1712090715441178,0.2757794251624085,0.3509435459339247,0.2715015744652285,0.4011803502238811,,
11,0.383282499053904,0.3065759959747288,0.337040650564002,0.3430502909366181,,,,,
12,0.3947902971162181,0.3621601678028202,0.3101124285821982,0.3623250098027848,0.3020393229256393,0.4340175769119108,0.3717108068545929,0.4459410498921423,
13,0.3163837099005427,0.47898665652285066,0.520891823172962,0.4353320113743659,0.17290291364894383,0.41816036953469726,0.468129047857358,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
