,pep1,pep2,pep3,pep4,pep5,pep6,pep7,pep8,pep9
0,H1GH1G,KFGKFG,HZGHZG,X1GX1G,RWGRWG,KIGKIG,X3GX3G,RZGRZG,XZGXZG
1,XWGRWG,KIGXIG,RWGXWG,KIGXCG,EIGKIG,XIGKCG,KIGKCG,,
2,RWGKHG,RIGDMG,XIGDMG,KWGKHG,EHGKWG,RLGK4G,KTGKLG,,
3,D4GHIG,H4GDIG,XIGHHG,HIGHHG,HIGEFG,DIGH4G,RIGHHG,,
4,HIGD4G,DWGDWG,D4GD4G,EZGK1G,X4GD4G,HZGXMG,D1GXZG,,
5,XWGRFG,RWGDWG,EWGRFG,KCGDZG,HTGXWG,KWGRWG,EWGKWG,,
6,DVGKMG,RZGE1G,EZGRMG,D1GHLG,XZGRMG,DWGRWG,DLGH1G,,
7,EIGRWG,XIGRWG,RIGEWG,RIGDWG,KIGRWG,EVGRWG,KWGKWG,,
8,RWGKWG,XVGKIG,XWGDWG,XIGEIG,ECGH1G,,,,
9,E3GHTG,E3GHVG,D3GHVG,K3GHVG,D3GHTG,K3GHTG,,,
10,E3GRWG,R3GEWG,R3GHWG,R3GRWG,RHGRWG,H3GRWG,RLGHWG,,
11,ELGRWG,RTGKVG,RLGRWG,XVGKTG,,,,,
12,K1GHTG,K1GDVG,H1GHVG,K1GEVG,K1GKVG,E1GKVG,X1GKVG,KTGKVG,
13,KTGDVG,KTGEVG,XTGEVG,DTGEVG,DTGXVG,ETGEVG,KVGETG,,
14,KVGKTG,DCGXTG,DCGXVG,KCGHTG,KIGHVG,XWGKVG,KWGETG,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
